sample_id,expected_malicious,any_network,source_and_network,any_taint_chain
PB-132,True,True,True,True
PB-133,True,True,True,True
PB-134,True,True,True,True
PB-135,True,True,True,True
PB-136,True,True,True,True
PB-137,True,True,True,True
PB-138,True,True,True,True
PB-139,True,True,True,True
PB-140,True,True,True,True
PB-141,True,True,True,False
PB-142,True,True,True,True
PB-143,True,True,True,True
PB-144,True,True,True,True
PB-145,True,True,True,True
PB-146,True,True,True,True
PB-147,True,True,True,True
PB-148,True,True,True,True
PB-149,True,True,True,True
PB-150,True,True,False,False
PB-151,True,True,True,True
PB-152,True,True,True,True
PB-153,True,True,True,True
PB-154,True,True,True,True
PB-155,True,True,True,True
PB-156,True,True,True,True
PB-157,True,True,True,True
PB-158,True,True,True,True
PB-159,True,True,True,True
PB-160,True,True,True,True
PB-161,True,True,True,True
PB-162,True,True,False,False
PB-163,True,True,True,True
PB-164,True,True,True,True
PB-165,True,True,True,True
PB-166,True,True,True,True
PB-167,True,True,True,True
PB-168,True,True,True,True
PB-169,True,True,True,True
PB-170,True,True,True,True
PB-171,True,True,True,True
PB-172,True,True,True,True
PB-173,True,True,True,True
PB-174,True,True,True,True
PB-175,True,True,True,True
PB-176,True,True,True,True
PB-177,True,True,True,True
PB-178,True,True,True,True
PB-179,True,True,True,True
PB-180,True,True,True,True
PB-181,True,True,True,True
PB-182,True,True,False,False
PB-183,True,True,True,True
PB-184,True,True,False,False
PB-185,True,True,False,False
PB-186,True,True,False,False
PB-187,True,True,False,False
PB-188,True,True,False,False
PB-189,True,True,True,True
PB-190,True,True,True,True
PB-191,True,True,True,True
PB-192,True,True,False,False
PB-193,True,True,False,False
PB-194,True,True,True,True
PB-195,True,True,True,True
PB-196,True,True,True,True
PB-197,True,True,True,True
PB-198,True,True,True,True
PB-199,True,True,True,True
PB-200,True,True,True,True
PB-201,True,True,False,False
PB-202,True,True,True,True
PB-203,True,True,True,True
PB-204,True,True,True,True
PB-205,True,True,True,True
PB-206,True,True,True,True
PB-207,True,True,True,True
PB-208,True,True,True,True
PB-209,True,True,True,True
PB-210,True,True,True,True
PB-211,True,True,True,True
PB-212,True,True,True,True
PB-213,True,True,True,True
PB-214,True,True,True,True
PB-215,True,True,True,True
PB-216,True,True,True,True
PB-217,True,True,True,True
PB-218,True,True,True,True
PB-219,True,True,True,True
PB-220,True,True,False,False
PB-221,True,True,True,True
PB-222,True,True,True,True
PB-223,True,True,True,True
PB-224,True,True,True,True
PB-225,True,True,False,False
PB-226,True,True,True,True
PB-227,True,True,True,True
PB-228,True,True,True,True
PB-229,True,True,False,False
PB-230,True,True,False,False
PB-231,True,True,False,False
PB-232,True,True,True,True
PB-233,True,True,True,True
PB-234,True,True,True,True
PB-235,True,True,True,True
PB-236,True,True,True,True
PB-237,True,True,True,True
PB-238,True,True,True,True
PB-239,True,True,True,True
PB-240,True,True,False,False
PB-241,True,True,True,True
PB-242,True,True,True,True
PB-243,True,True,True,True
PB-244,True,True,True,True
PB-245,True,True,True,True
PB-246,True,True,True,True
PB-247,True,True,True,True
PB-248,True,True,True,True
PB-249,True,True,True,True
PB-250,True,True,True,True
PB-251,True,True,True,True
PB-252,True,True,True,True
PB-253,True,True,True,True
PB-254,True,True,True,True
PB-255,True,True,True,True
PB-256,True,True,True,True
PB-257,True,True,True,True
PB-258,True,True,True,True
PB-259,True,True,True,True
PB-260,True,True,True,True
PB-261,True,True,True,True
PB-262,True,True,False,False
PB-263,True,True,True,True
PB-264,True,True,True,True
PB-265,True,True,True,True
PB-266,True,True,True,True
PB-267,True,True,True,True
PB-268,True,True,True,True
PB-269,True,True,True,True
PB-270,True,True,True,True
PB-271,True,True,True,True
PB-272,True,True,True,True
PB-273,True,True,True,True
PB-274,True,True,True,True
PB-275,True,True,True,True
PB-276,True,True,True,True
PB-277,True,True,True,True
PB-278,True,True,True,True
PB-279,True,True,True,True
PB-280,True,True,True,True
PB-281,True,True,True,True
PB-282,True,True,True,True
PB-283,True,True,True,True
PB-284,True,True,True,True
PB-285,True,True,True,True
PB-286,True,True,True,True
PB-287,True,True,True,True
PB-288,True,True,True,True
PB-289,True,True,True,True
PB-290,True,True,True,True
PB-291,True,True,True,True
PB-292,True,True,True,True
PB-293,True,True,True,True
PB-294,True,True,True,True
PB-295,True,True,True,True
PB-296,True,True,True,True
PB-297,True,True,True,True
PB-298,True,True,True,True
PB-299,True,True,False,False
PB-300,True,True,True,True
PB-301,True,True,True,True
PB-302,True,True,True,True
PB-303,True,True,True,True
PB-304,True,True,True,True
PB-305,True,True,True,True
PB-306,True,True,True,True
PB-307,True,True,False,False
PB-308,True,True,True,True
PB-309,True,True,True,True
PB-310,True,True,True,True
PB-311,True,True,True,True
PB-312,True,True,True,True
PB-313,True,True,False,False
PB-314,True,True,True,True
PB-315,True,True,True,True
PB-316,True,True,True,True
PB-317,True,True,True,True
PB-318,True,True,True,True
PB-319,True,True,True,True
PB-320,True,True,True,True
PB-321,True,True,True,True
PB-322,True,True,True,True
PB-323,True,True,True,True
PB-324,True,True,True,True
PB-325,True,True,True,True
PB-326,True,True,True,True
PB-327,True,True,True,False
PB-328,True,True,True,True
PB-329,True,True,False,False
PB-330,True,True,True,True
PB-331,True,True,True,True
PB-332,True,True,True,True
PB-333,True,True,True,True
PB-334,True,True,True,True
PB-335,True,True,True,True
PB-336,True,True,True,True
PB-337,True,True,True,True
PB-338,True,True,True,True
PB-339,True,True,True,True
PB-340,True,True,True,True
PB-341,True,True,True,True
PB-342,True,True,True,True
PB-343,True,True,True,True
PB-344,True,True,True,True
PB-345,True,True,True,True
PB-346,True,True,True,True
PB-347,True,True,True,True
PB-348,True,True,True,True
PB-349,True,True,True,True
PB-350,True,True,True,True
PB-351,True,True,True,True
PB-352,True,True,True,True
PB-353,True,True,True,True
PB-354,True,True,True,True
PB-355,True,True,True,True
PB-356,True,True,True,True
PB-357,True,True,True,True
PB-358,True,True,True,True
PB-359,True,True,True,True
PB-360,True,True,True,True
PB-361,True,True,True,True
PB-362,True,True,True,True
PB-363,True,True,True,True
PB-364,True,True,True,True
PB-365,True,True,True,True
PB-366,True,True,True,True
PB-367,True,True,True,True
PB-368,True,True,True,True
PB-369,True,True,True,True
PB-370,True,True,True,True
PB-371,True,True,True,True
PB-372,True,True,True,True
PB-373,True,True,True,True
PB-374,True,True,True,True
PB-375,True,True,True,True
PB-376,True,True,True,True
PB-377,True,True,True,True
PB-378,True,True,True,True
PB-379,True,True,True,True
PB-380,True,True,True,True
PB-381,True,True,True,True
PB-382,True,True,True,True
PB-383,True,True,True,True
PB-384,True,True,True,True
PB-385,True,True,True,True
PB-386,True,True,True,True
PB-387,True,True,True,True
PB-388,True,True,True,True
PB-389,True,True,True,True
PB-390,True,True,False,False
PB-391,True,True,True,True
PB-392,True,True,True,True
PB-393,True,True,True,True
PB-394,True,True,True,True
PB-395,True,True,True,True
PB-396,True,True,True,True
PB-397,True,True,True,True
PB-398,True,True,True,True
PB-399,False,True,True,True
PB-400,False,True,True,True
PB-401,False,True,True,True
PB-402,False,True,True,True
PB-403,False,True,True,True
PB-404,False,True,True,True
PB-405,False,True,True,True
PB-406,False,True,True,True
PB-407,False,True,True,True
PB-408,False,True,True,True
PB-409,False,True,True,True
PB-410,False,True,False,False
PB-411,False,True,True,True
PB-412,False,True,True,True
PB-413,False,True,True,True
PB-414,False,True,True,True
PB-415,False,True,True,True
PB-416,False,True,True,True
PB-417,False,True,True,True
PB-418,False,True,True,True
PB-419,False,True,False,False
PB-420,False,True,True,True
PB-421,False,True,True,True
PB-422,False,True,True,True
PB-423,False,True,True,True
PB-424,False,True,True,True
PB-425,False,True,True,True
PB-426,False,True,True,True
PB-427,False,True,True,True
PB-428,False,True,True,True
PB-429,False,True,True,True
PB-430,False,True,True,True
PB-431,False,True,True,True
PB-432,False,True,True,True
PB-433,False,True,True,True
PB-434,False,True,True,True
PB-435,False,True,False,False
PB-436,False,True,True,True
PB-437,False,True,True,True
PB-438,False,True,True,True
PB-439,False,True,True,True
PB-440,False,True,True,True
PB-441,False,True,True,True
PB-442,False,True,True,True
PB-443,False,True,True,True
PB-444,False,True,True,True
PB-445,False,True,True,True
PB-446,False,True,False,False
PB-447,False,True,True,True
PB-448,False,True,True,True
PB-449,False,True,True,True
PB-450,False,True,False,False
PB-451,False,True,False,False
PB-452,False,True,False,False
PB-453,False,True,False,False
PB-454,False,True,True,True
PB-455,False,True,True,True
PB-456,False,True,True,True
PB-457,False,True,True,True
PB-458,False,True,True,True
PB-459,False,True,True,True
PB-460,False,True,True,True
PB-461,False,True,True,True
PB-462,False,True,True,True
PB-463,False,True,False,False
PB-464,False,True,True,False
PB-465,False,True,True,True
PB-466,False,True,True,False
PB-467,False,True,True,True
PB-468,False,True,True,True
PB-469,False,True,True,True
PB-470,False,True,True,False
PB-471,False,True,True,True
PB-472,False,True,True,True
PB-473,False,True,True,True
PB-474,False,True,True,True
PB-475,False,True,True,True
PB-476,False,True,False,False
PB-477,False,True,True,True
PB-478,False,True,False,False
PB-479,False,True,False,False
PB-480,False,True,True,True
PB-481,False,True,True,True
PB-482,False,True,False,False
PB-483,False,True,True,True
PB-484,False,True,True,True
PB-485,False,True,True,True
PB-486,False,True,True,True
PB-487,False,True,False,False
PB-488,False,True,True,True
PB-489,False,True,True,False
PB-490,False,True,True,True
PB-491,False,True,False,False
PB-492,False,True,True,True
PB-493,False,True,True,True
PB-494,False,True,True,True
PB-495,False,True,True,True
PB-496,False,True,True,True
PB-497,False,True,True,True
PB-498,False,True,True,True
PB-499,False,True,True,True
PB-500,False,True,True,True
PB-501,False,True,True,True
PB-502,False,True,False,False
PB-503,False,True,True,True
PB-504,False,True,True,True
PB-505,False,True,True,True
PB-506,False,True,True,True
PB-507,False,True,True,True
PB-508,False,True,True,True
PB-509,False,True,True,False
PB-510,False,True,True,True
PB-511,False,True,True,True
PB-512,False,True,True,True
PB-513,False,True,False,False
PB-514,False,True,False,False
PB-515,False,True,True,True
PB-516,False,True,True,True
PB-517,False,True,True,True
PB-518,False,True,True,False
PB-519,False,True,True,True
PB-520,False,True,True,True
PB-521,False,True,True,True
PB-522,False,True,False,False
PB-523,False,True,True,True
PB-524,False,True,True,True
PB-525,False,True,True,True
PB-526,False,True,True,True
PB-527,False,True,True,True
PB-528,False,True,True,True
PB-529,False,True,True,True
PB-530,False,True,True,True
PB-531,False,True,False,False
PB-532,False,True,False,False
PB-533,False,True,True,True
PB-534,False,True,True,True
PB-535,False,True,True,True
PB-536,False,True,True,True
PB-537,False,True,True,True
PB-538,False,True,True,True
PB-539,False,True,True,True
PB-540,False,True,True,True
PB-541,False,True,True,True
PB-542,False,True,True,True
PB-543,False,True,True,True
PB-544,False,True,True,True
PB-545,False,True,True,True
PB-546,False,True,True,True
PB-547,False,True,True,True
PB-548,False,True,True,True
PB-549,False,True,True,True
PB-550,False,True,True,True
PB-551,False,True,False,False
PB-552,False,True,False,False
PB-553,False,True,False,False
PB-554,False,True,True,True
PB-555,False,True,True,True
PB-556,False,True,True,True
PB-557,False,True,False,False
PB-558,False,True,True,True
PB-559,False,True,True,True
PB-560,False,True,True,True
PB-561,False,True,True,True
PB-562,False,True,True,True
PB-563,False,True,False,False
PB-564,False,True,True,True
PB-565,False,True,True,True
PB-566,False,True,True,True
PB-567,False,True,True,True
PB-568,False,True,False,False
PB-569,False,True,False,False
PB-570,False,True,True,True
PB-571,False,True,True,True
PB-572,False,True,True,True
PB-573,False,True,True,True
PB-574,False,True,False,False
PB-575,False,True,False,False
PB-576,False,True,True,True
PB-577,False,True,True,True
PB-578,False,True,False,False
PB-579,False,True,True,True
PB-580,False,True,True,True
PB-581,False,True,True,True
PB-582,False,True,False,False
PB-583,False,True,False,False
PB-584,False,True,True,True
PB-585,False,True,False,False
PB-586,False,True,True,True
PB-587,False,True,True,True
PB-588,False,True,False,False
PB-589,False,True,True,True
PB-590,False,True,True,True
PB-591,False,True,True,True
PB-592,False,True,True,True
PB-593,False,True,True,True
PB-594,False,True,True,True
PB-595,False,True,True,True
PB-596,False,True,False,False
PB-597,False,True,True,True
PB-598,False,True,False,False
PB-599,False,True,True,True
PB-600,False,True,True,True
PB-601,False,True,False,False
PB-602,False,True,True,True
PB-603,False,True,True,True
PB-604,False,True,True,True
PB-605,False,True,False,False
PB-606,False,True,True,True
PB-607,False,True,True,True
PB-608,False,True,True,True
PB-609,False,True,True,True
PB-610,False,True,False,False
PB-611,False,True,False,False
PB-612,False,True,True,True
PB-613,False,True,True,True
PB-614,False,True,True,True
PB-615,False,True,True,True
PB-616,False,True,False,False
PB-617,False,True,True,True
PB-618,False,True,True,True
PB-619,False,True,True,True
PB-620,False,True,True,True
PB-621,False,True,False,False
PB-622,False,True,True,True
PB-623,False,True,True,True
PB-624,False,True,False,False
PB-625,False,True,True,True
PB-626,False,True,True,True
PB-627,False,True,False,False
PB-628,False,True,True,True
PB-629,False,True,True,True
PB-630,False,True,True,True
PB-631,False,True,True,True
PB-632,False,True,True,True
PB-633,False,True,False,False
PB-634,False,True,True,True
PB-635,False,True,True,True
PB-636,False,True,False,False
PB-637,False,True,True,True
PB-638,False,True,True,True
PB-639,False,True,False,False
PB-640,False,True,True,True
PB-641,False,True,True,True
PB-642,False,True,False,False
PB-643,False,True,False,False
PB-644,False,True,False,False
PB-645,False,True,False,False
PB-646,False,True,True,True
PB-647,False,True,False,False
PB-648,False,True,False,False
PB-649,False,True,True,True
PB-650,False,True,True,True
PB-651,False,True,True,True
PB-652,False,True,False,False
PB-653,False,True,False,False
PB-654,False,True,True,True
PB-655,False,True,False,False
PB-656,False,True,False,False
PB-657,False,True,False,False
PB-658,False,True,False,False
PB-659,False,True,False,False
PB-660,False,True,False,False
PB-661,False,True,False,False
PB-662,False,True,True,True
PB-663,False,True,True,True
PB-664,False,True,True,True
PB-665,False,True,True,True
PB-666,False,True,False,False
PB-667,False,True,True,True
PB-668,False,True,False,False
PB-669,False,True,False,False
PB-670,False,True,False,False
PB-671,False,True,False,False
PB-672,False,True,False,False
PB-673,False,True,True,True
PB-674,False,True,False,False
PB-675,False,True,False,False
PB-676,False,True,True,True
PB-677,False,True,True,True
PB-678,False,True,False,False
PB-679,False,True,False,False
PB-680,False,True,True,True
PB-681,False,True,False,False
PB-682,False,True,False,False
PB-683,False,True,False,False
PB-684,False,True,True,True
PB-685,False,True,True,True
PB-686,False,True,False,False
PB-687,False,True,False,False
PB-688,False,True,True,True
PB-689,False,True,False,False
PB-690,False,True,False,False
PB-691,False,True,True,True
PB-692,False,True,False,False
PB-693,False,True,False,False
PB-694,False,True,False,False
PB-695,False,True,False,False
PB-696,False,True,False,False
PB-697,False,True,False,False
PB-698,False,True,False,False
PB-699,False,True,False,False
PB-700,False,True,True,True
PB-701,False,True,True,True
PB-702,False,True,True,True
PB-703,False,True,True,True
PB-704,False,True,False,False
PB-705,False,True,False,False
PB-706,False,True,True,True
PB-707,False,True,True,True
PB-708,False,True,False,False
PB-709,False,True,True,True
PB-710,False,True,True,True
PB-711,False,True,True,True
PB-712,False,True,False,False
PB-713,False,True,False,False
PB-714,False,True,True,True
PB-715,False,True,True,True
PB-716,False,True,False,False
PB-717,False,True,True,True
PB-718,False,True,False,False
PB-719,False,True,True,True
PB-720,False,True,False,False
PB-721,False,True,True,True
PB-722,False,True,False,False
PB-723,False,True,False,False
PB-724,False,True,True,True
PB-725,False,True,False,False
PB-726,False,True,True,True
PB-727,False,True,False,False
PB-728,False,True,False,False
PB-729,False,True,False,False
PB-730,False,True,True,True
PB-731,False,True,True,True
PB-732,False,True,False,False
PB-733,False,True,False,False
PB-734,False,True,False,False
PB-735,False,True,True,True
PB-736,False,True,True,True
PB-737,False,True,False,False
PB-738,False,True,True,True
PB-739,False,True,True,True
PB-740,False,True,True,True
PB-741,False,True,False,False
PB-742,False,True,True,True
PB-743,False,True,True,True
PB-744,False,True,True,True
PB-745,False,True,True,True
PB-746,False,True,False,False
PB-747,False,True,True,True
PB-748,False,True,True,True
PB-749,False,True,True,True
PB-750,False,True,True,True
PB-751,False,True,True,True
PB-752,False,True,False,False
PB-753,False,True,True,True
PB-754,False,True,True,True
PB-755,False,True,True,True
PB-756,False,True,True,True
PB-757,False,True,True,True
PB-758,False,True,True,True
PB-759,False,True,True,True
PB-760,False,True,True,True
PB-761,False,True,False,False
PB-762,False,True,False,False
PB-763,False,True,False,False
PB-764,False,True,False,False
PB-765,False,True,False,False
PB-766,False,True,True,True
PB-767,False,True,False,False
PB-768,False,True,False,False
PB-769,False,True,False,False
PB-770,False,True,False,False
PB-771,False,True,False,False
PB-772,False,True,False,False
PB-773,False,True,False,False
PB-774,False,True,False,False
PB-775,False,True,True,True
PB-776,False,True,False,False
