pair_id,sample_ids,gt_labels,predictions,category
CF-REV-0062,PB-125;PB-502,"{""PB-125"": ""malicious"", ""PB-502"": ""benign""}","{""PB-125"": ""benign"", ""PB-502"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0063,PB-009;PB-404,"{""PB-009"": ""malicious"", ""PB-404"": ""benign""}","{""PB-009"": ""benign"", ""PB-404"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0064,PB-026;PB-417,"{""PB-026"": ""malicious"", ""PB-417"": ""benign""}","{""PB-026"": ""benign"", ""PB-417"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0065,PB-036;PB-429,"{""PB-036"": ""malicious"", ""PB-429"": ""benign""}","{""PB-036"": ""benign"", ""PB-429"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0066,PB-049;PB-442,"{""PB-049"": ""malicious"", ""PB-442"": ""benign""}","{""PB-049"": ""benign"", ""PB-442"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0067,PB-062;PB-455,"{""PB-062"": ""malicious"", ""PB-455"": ""benign""}","{""PB-062"": ""benign"", ""PB-455"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0068,PB-075;PB-468,"{""PB-075"": ""malicious"", ""PB-468"": ""benign""}","{""PB-075"": ""benign"", ""PB-468"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0069,PB-088;PB-481,"{""PB-088"": ""malicious"", ""PB-481"": ""benign""}","{""PB-088"": ""benign"", ""PB-481"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0070,PB-101;PB-493,"{""PB-101"": ""malicious"", ""PB-493"": ""benign""}","{""PB-101"": ""benign"", ""PB-493"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0071,PB-114;PB-496,"{""PB-114"": ""malicious"", ""PB-496"": ""benign""}","{""PB-114"": ""benign"", ""PB-496"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0072,PB-126;PB-503,"{""PB-126"": ""malicious"", ""PB-503"": ""benign""}","{""PB-126"": ""benign"", ""PB-503"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0073,PB-010;PB-405,"{""PB-010"": ""malicious"", ""PB-405"": ""benign""}","{""PB-010"": ""benign"", ""PB-405"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0074,PB-011;PB-418,"{""PB-011"": ""malicious"", ""PB-418"": ""benign""}","{""PB-011"": ""benign"", ""PB-418"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0075,PB-037;PB-430,"{""PB-037"": ""malicious"", ""PB-430"": ""benign""}","{""PB-037"": ""benign"", ""PB-430"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0076,PB-050;PB-443,"{""PB-050"": ""malicious"", ""PB-443"": ""benign""}","{""PB-050"": ""benign"", ""PB-443"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0077,PB-063;PB-456,"{""PB-063"": ""malicious"", ""PB-456"": ""benign""}","{""PB-063"": ""benign"", ""PB-456"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0078,PB-076;PB-469,"{""PB-076"": ""malicious"", ""PB-469"": ""benign""}","{""PB-076"": ""benign"", ""PB-469"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0079,PB-089;PB-482,"{""PB-089"": ""malicious"", ""PB-482"": ""benign""}","{""PB-089"": ""benign"", ""PB-482"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0080,PB-102;PB-494,"{""PB-102"": ""malicious"", ""PB-494"": ""benign""}","{""PB-102"": ""benign"", ""PB-494"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0081,PB-115;PB-497,"{""PB-115"": ""malicious"", ""PB-497"": ""benign""}","{""PB-115"": ""benign"", ""PB-497"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0082,PB-127;PB-504,"{""PB-127"": ""malicious"", ""PB-504"": ""benign""}","{""PB-127"": ""benign"", ""PB-504"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0083,PB-012;PB-406,"{""PB-012"": ""malicious"", ""PB-406"": ""benign""}","{""PB-012"": ""malicious"", ""PB-406"": ""benign""}",consistent_or_mixed
CF-REV-0084,PB-027;PB-419,"{""PB-027"": ""malicious"", ""PB-419"": ""benign""}","{""PB-027"": ""malicious"", ""PB-419"": ""benign""}",consistent_or_mixed
CF-REV-0085,PB-038;PB-431,"{""PB-038"": ""malicious"", ""PB-431"": ""benign""}","{""PB-038"": ""malicious"", ""PB-431"": ""benign""}",consistent_or_mixed
CF-REV-0086,PB-051;PB-444,"{""PB-051"": ""malicious"", ""PB-444"": ""benign""}","{""PB-051"": ""benign"", ""PB-444"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0087,PB-064;PB-457,"{""PB-064"": ""malicious"", ""PB-457"": ""benign""}","{""PB-064"": ""malicious"", ""PB-457"": ""benign""}",consistent_or_mixed
CF-REV-0088,PB-077;PB-470,"{""PB-077"": ""malicious"", ""PB-470"": ""benign""}","{""PB-077"": ""malicious"", ""PB-470"": ""benign""}",consistent_or_mixed
CF-REV-0089,PB-090;PB-483,"{""PB-090"": ""malicious"", ""PB-483"": ""benign""}","{""PB-090"": ""malicious"", ""PB-483"": ""benign""}",consistent_or_mixed
CF-REV-0091,PB-116;PB-498,"{""PB-116"": ""malicious"", ""PB-498"": ""benign""}","{""PB-116"": ""malicious"", ""PB-498"": ""benign""}",consistent_or_mixed
CF-REV-0092,PB-128;PB-505,"{""PB-128"": ""malicious"", ""PB-505"": ""benign""}","{""PB-128"": ""malicious"", ""PB-505"": ""benign""}",consistent_or_mixed
CF-REV-0093,PB-013;PB-407,"{""PB-013"": ""malicious"", ""PB-407"": ""benign""}","{""PB-013"": ""malicious"", ""PB-407"": ""benign""}",consistent_or_mixed
CF-REV-0094,PB-028;PB-420,"{""PB-028"": ""malicious"", ""PB-420"": ""benign""}","{""PB-028"": ""malicious"", ""PB-420"": ""benign""}",consistent_or_mixed
CF-REV-0095,PB-039;PB-432,"{""PB-039"": ""malicious"", ""PB-432"": ""benign""}","{""PB-039"": ""malicious"", ""PB-432"": ""benign""}",consistent_or_mixed
CF-REV-0096,PB-052;PB-445,"{""PB-052"": ""malicious"", ""PB-445"": ""benign""}","{""PB-052"": ""malicious"", ""PB-445"": ""benign""}",consistent_or_mixed
CF-REV-0097,PB-065;PB-458,"{""PB-065"": ""malicious"", ""PB-458"": ""benign""}","{""PB-065"": ""malicious"", ""PB-458"": ""benign""}",consistent_or_mixed
CF-REV-0098,PB-078;PB-471,"{""PB-078"": ""malicious"", ""PB-471"": ""benign""}","{""PB-078"": ""malicious"", ""PB-471"": ""benign""}",consistent_or_mixed
CF-REV-0099,PB-091;PB-484,"{""PB-091"": ""malicious"", ""PB-484"": ""benign""}","{""PB-091"": ""malicious"", ""PB-484"": ""benign""}",consistent_or_mixed
CF-REV-0102,PB-129;PB-506,"{""PB-129"": ""malicious"", ""PB-506"": ""benign""}","{""PB-129"": ""malicious"", ""PB-506"": ""benign""}",consistent_or_mixed
CF-REV-0103,PB-014;PB-408,"{""PB-014"": ""malicious"", ""PB-408"": ""benign""}","{""PB-014"": ""malicious"", ""PB-408"": ""benign""}",consistent_or_mixed
CF-REV-0104,PB-029;PB-421,"{""PB-029"": ""malicious"", ""PB-421"": ""benign""}","{""PB-029"": ""malicious"", ""PB-421"": ""benign""}",consistent_or_mixed
CF-REV-0105,PB-040;PB-433,"{""PB-040"": ""malicious"", ""PB-433"": ""benign""}","{""PB-040"": ""malicious"", ""PB-433"": ""benign""}",consistent_or_mixed
CF-REV-0106,PB-053;PB-446,"{""PB-053"": ""malicious"", ""PB-446"": ""benign""}","{""PB-053"": ""malicious"", ""PB-446"": ""benign""}",consistent_or_mixed
CF-REV-0107,PB-066;PB-459,"{""PB-066"": ""malicious"", ""PB-459"": ""benign""}","{""PB-066"": ""malicious"", ""PB-459"": ""benign""}",consistent_or_mixed
CF-REV-0108,PB-079;PB-472,"{""PB-079"": ""malicious"", ""PB-472"": ""benign""}","{""PB-079"": ""malicious"", ""PB-472"": ""benign""}",consistent_or_mixed
CF-REV-0109,PB-092;PB-485,"{""PB-092"": ""malicious"", ""PB-485"": ""benign""}","{""PB-092"": ""malicious"", ""PB-485"": ""benign""}",consistent_or_mixed
CF-REV-0111,PB-118;PB-499,"{""PB-118"": ""malicious"", ""PB-499"": ""benign""}","{""PB-118"": ""malicious"", ""PB-499"": ""benign""}",consistent_or_mixed
CF-REV-0112,PB-130;PB-507,"{""PB-130"": ""malicious"", ""PB-507"": ""benign""}","{""PB-130"": ""malicious"", ""PB-507"": ""benign""}",consistent_or_mixed
CF-REV-0113,PB-015;PB-409,"{""PB-015"": ""malicious"", ""PB-409"": ""benign""}","{""PB-015"": ""malicious"", ""PB-409"": ""benign""}",consistent_or_mixed
CF-REV-0114,PB-041;PB-422,"{""PB-041"": ""malicious"", ""PB-422"": ""benign""}","{""PB-041"": ""malicious"", ""PB-422"": ""benign""}",consistent_or_mixed
CF-REV-0115,PB-054;PB-434,"{""PB-054"": ""malicious"", ""PB-434"": ""benign""}","{""PB-054"": ""malicious"", ""PB-434"": ""benign""}",consistent_or_mixed
CF-REV-0116,PB-067;PB-447,"{""PB-067"": ""malicious"", ""PB-447"": ""benign""}","{""PB-067"": ""malicious"", ""PB-447"": ""benign""}",consistent_or_mixed
CF-REV-0117,PB-080;PB-460,"{""PB-080"": ""malicious"", ""PB-460"": ""benign""}","{""PB-080"": ""benign"", ""PB-460"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0118,PB-093;PB-473,"{""PB-093"": ""malicious"", ""PB-473"": ""benign""}","{""PB-093"": ""benign"", ""PB-473"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0119,PB-106;PB-486,"{""PB-106"": ""malicious"", ""PB-486"": ""benign""}","{""PB-106"": ""malicious"", ""PB-486"": ""benign""}",consistent_or_mixed
CF-REV-0121,PB-016;PB-410,"{""PB-016"": ""malicious"", ""PB-410"": ""benign""}","{""PB-016"": ""benign"", ""PB-410"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0122,PB-042;PB-423,"{""PB-042"": ""malicious"", ""PB-423"": ""benign""}","{""PB-042"": ""malicious"", ""PB-423"": ""benign""}",consistent_or_mixed
CF-REV-0123,PB-055;PB-435,"{""PB-055"": ""malicious"", ""PB-435"": ""benign""}","{""PB-055"": ""benign"", ""PB-435"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0124,PB-068;PB-448,"{""PB-068"": ""malicious"", ""PB-448"": ""benign""}","{""PB-068"": ""benign"", ""PB-448"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0125,PB-081;PB-461,"{""PB-081"": ""malicious"", ""PB-461"": ""benign""}","{""PB-081"": ""benign"", ""PB-461"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0126,PB-094;PB-474,"{""PB-094"": ""malicious"", ""PB-474"": ""benign""}","{""PB-094"": ""malicious"", ""PB-474"": ""benign""}",consistent_or_mixed
CF-REV-0127,PB-107;PB-487,"{""PB-107"": ""malicious"", ""PB-487"": ""benign""}","{""PB-107"": ""benign"", ""PB-487"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0129,PB-132;PB-501,"{""PB-132"": ""malicious"", ""PB-501"": ""benign""}","{""PB-132"": ""benign"", ""PB-501"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0130,PB-145;PB-509,"{""PB-145"": ""malicious"", ""PB-509"": ""benign""}","{""PB-145"": ""benign"", ""PB-509"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0131,PB-017;PB-411,"{""PB-017"": ""malicious"", ""PB-411"": ""benign""}","{""PB-017"": ""malicious"", ""PB-411"": ""benign""}",consistent_or_mixed
CF-REV-0132,PB-018;PB-424,"{""PB-018"": ""malicious"", ""PB-424"": ""benign""}","{""PB-018"": ""malicious"", ""PB-424"": ""benign""}",consistent_or_mixed
CF-REV-0133,PB-019;PB-436,"{""PB-019"": ""malicious"", ""PB-436"": ""benign""}","{""PB-019"": ""malicious"", ""PB-436"": ""benign""}",consistent_or_mixed
CF-REV-0134,PB-030;PB-449,"{""PB-030"": ""malicious"", ""PB-449"": ""benign""}","{""PB-030"": ""malicious"", ""PB-449"": ""benign""}",consistent_or_mixed
CF-REV-0135,PB-043;PB-462,"{""PB-043"": ""malicious"", ""PB-462"": ""benign""}","{""PB-043"": ""benign"", ""PB-462"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0136,PB-056;PB-475,"{""PB-056"": ""malicious"", ""PB-475"": ""benign""}","{""PB-056"": ""malicious"", ""PB-475"": ""benign""}",consistent_or_mixed
CF-REV-0137,PB-069;PB-488,"{""PB-069"": ""malicious"", ""PB-488"": ""benign""}","{""PB-069"": ""malicious"", ""PB-488"": ""benign""}",consistent_or_mixed
CF-REV-0140,PB-108;PB-510,"{""PB-108"": ""malicious"", ""PB-510"": ""benign""}","{""PB-108"": ""malicious"", ""PB-510"": ""benign""}",consistent_or_mixed
CF-REV-0141,PB-121;PB-523,"{""PB-121"": ""malicious"", ""PB-523"": ""benign""}","{""PB-121"": ""malicious"", ""PB-523"": ""benign""}",consistent_or_mixed
CF-REV-0142,PB-133;PB-536,"{""PB-133"": ""malicious"", ""PB-536"": ""benign""}","{""PB-133"": ""malicious"", ""PB-536"": ""benign""}",consistent_or_mixed
CF-REV-0143,PB-146;PB-549,"{""PB-146"": ""malicious"", ""PB-549"": ""benign""}","{""PB-146"": ""malicious"", ""PB-549"": ""benign""}",consistent_or_mixed
CF-REV-0144,PB-158;PB-562,"{""PB-158"": ""malicious"", ""PB-562"": ""benign""}","{""PB-158"": ""malicious"", ""PB-562"": ""benign""}",consistent_or_mixed
CF-REV-0145,PB-166;PB-574,"{""PB-166"": ""malicious"", ""PB-574"": ""benign""}","{""PB-166"": ""malicious"", ""PB-574"": ""benign""}",consistent_or_mixed
CF-REV-0146,PB-172;PB-587,"{""PB-172"": ""malicious"", ""PB-587"": ""benign""}","{""PB-172"": ""malicious"", ""PB-587"": ""benign""}",consistent_or_mixed
CF-REV-0147,PB-175;PB-600,"{""PB-175"": ""malicious"", ""PB-600"": ""benign""}","{""PB-175"": ""malicious"", ""PB-600"": ""benign""}",consistent_or_mixed
CF-REV-0148,PB-178;PB-613,"{""PB-178"": ""malicious"", ""PB-613"": ""benign""}","{""PB-178"": ""malicious"", ""PB-613"": ""benign""}",consistent_or_mixed
CF-REV-0149,PB-180;PB-626,"{""PB-180"": ""malicious"", ""PB-626"": ""benign""}","{""PB-180"": ""malicious"", ""PB-626"": ""benign""}",consistent_or_mixed
CF-REV-0150,PB-181;PB-638,"{""PB-181"": ""malicious"", ""PB-638"": ""benign""}","{""PB-181"": ""malicious"", ""PB-638"": ""benign""}",consistent_or_mixed
CF-REV-0151,PB-182;PB-650,"{""PB-182"": ""malicious"", ""PB-650"": ""benign""}","{""PB-182"": ""malicious"", ""PB-650"": ""benign""}",consistent_or_mixed
CF-REV-0152,PB-183;PB-661,"{""PB-183"": ""malicious"", ""PB-661"": ""benign""}","{""PB-183"": ""malicious"", ""PB-661"": ""benign""}",consistent_or_mixed
CF-REV-0153,PB-184;PB-673,"{""PB-184"": ""malicious"", ""PB-673"": ""benign""}","{""PB-184"": ""malicious"", ""PB-673"": ""benign""}",consistent_or_mixed
CF-REV-0154,PB-185;PB-684,"{""PB-185"": ""malicious"", ""PB-684"": ""benign""}","{""PB-185"": ""malicious"", ""PB-684"": ""benign""}",consistent_or_mixed
CF-REV-0155,PB-186;PB-696,"{""PB-186"": ""malicious"", ""PB-696"": ""benign""}","{""PB-186"": ""malicious"", ""PB-696"": ""benign""}",consistent_or_mixed
CF-REV-0156,PB-187;PB-701,"{""PB-187"": ""malicious"", ""PB-701"": ""benign""}","{""PB-187"": ""malicious"", ""PB-701"": ""benign""}",consistent_or_mixed
CF-REV-0157,PB-188;PB-706,"{""PB-188"": ""malicious"", ""PB-706"": ""benign""}","{""PB-188"": ""malicious"", ""PB-706"": ""benign""}",consistent_or_mixed
CF-REV-0158,PB-189;PB-711,"{""PB-189"": ""malicious"", ""PB-711"": ""benign""}","{""PB-189"": ""malicious"", ""PB-711"": ""benign""}",consistent_or_mixed
CF-REV-0159,PB-190;PB-716,"{""PB-190"": ""malicious"", ""PB-716"": ""benign""}","{""PB-190"": ""malicious"", ""PB-716"": ""benign""}",consistent_or_mixed
CF-REV-0160,PB-191;PB-721,"{""PB-191"": ""malicious"", ""PB-721"": ""benign""}","{""PB-191"": ""malicious"", ""PB-721"": ""benign""}",consistent_or_mixed
