sample_id,expected_outcome,predicted_label,coverage_state,risk_chain_status,security_resolution_status,correct
PB-083,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-084,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-085,confirmed_violation,malicious,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,True
PB-086,confirmed_violation,malicious,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,True
PB-087,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-088,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-089,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-090,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-091,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-092,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-093,confirmed_violation,benign,environment_missing,confirmed_allowed,unresolved_before_guard,False
PB-094,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-095,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-096,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-097,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-098,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-099,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-100,confirmed_violation,malicious,max_steps_exhausted,confirmed_allowed,unresolved_before_guard,True
PB-101,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-102,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-103,confirmed_violation,malicious,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,True
PB-104,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-105,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-106,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-107,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-108,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-109,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-110,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-111,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-112,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-113,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-114,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-115,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-116,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-117,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-118,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-119,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-120,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-121,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-122,confirmed_violation,malicious,path_incomplete,no_sensitive_flow_observed,unresolved_before_sink,True
PB-123,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-124,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-125,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-126,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-127,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-128,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-129,confirmed_violation,malicious,path_incomplete,no_sensitive_flow_observed,unresolved_before_sink,True
PB-130,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-131,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-132,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-133,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-134,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-135,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-136,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-137,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-138,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-139,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-140,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-141,confirmed_violation,benign,target_reached_no_flow,no_sensitive_flow_observed,resolved_no_flow,False
PB-142,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-143,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-144,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-145,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-146,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-147,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-148,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-149,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-150,confirmed_violation,malicious,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,True
PB-151,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-152,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-153,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-154,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-155,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-156,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-157,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-158,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-159,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-160,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-161,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-162,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-163,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-164,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-165,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-166,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-167,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-168,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-169,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-170,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-171,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-172,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-173,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-174,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-175,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-176,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-177,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-178,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-179,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-180,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-181,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-182,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-183,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-184,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-185,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-186,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-187,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-188,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-189,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-190,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-191,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-192,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-193,confirmed_violation,malicious,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,True
PB-194,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-195,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-196,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-197,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-198,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-199,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-200,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-201,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-202,confirmed_violation,malicious,max_steps_exhausted,confirmed_violation,resolved_violation,True
PB-203,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-204,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-205,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-206,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-207,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-208,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-209,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-210,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-211,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-212,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-213,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-214,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-215,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-216,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-217,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-218,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-219,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-220,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-221,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-222,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-223,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-224,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-225,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-226,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-227,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-228,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-229,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-230,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-231,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-232,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-233,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-234,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-235,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-236,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-237,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-238,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-239,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-240,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-241,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-242,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-243,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-244,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-245,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-246,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-247,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-248,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-249,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-250,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-251,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-252,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-253,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-254,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-255,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-256,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-257,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-258,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-259,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-260,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-261,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-262,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-263,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-264,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-265,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-266,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-267,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-268,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-269,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-270,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-271,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-272,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-273,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-274,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-275,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-276,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-277,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-278,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-279,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-280,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-281,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-282,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-283,confirmed_violation,benign,complete,confirmed_allowed,resolved_allowed,False
PB-284,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-285,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-286,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-287,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-288,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-289,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-290,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-291,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-292,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-293,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-294,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-295,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-296,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-297,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-298,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-299,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-300,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-301,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-302,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-303,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-304,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-305,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-306,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-307,confirmed_violation,malicious,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,True
PB-308,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-309,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-310,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-311,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-312,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-313,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-314,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-315,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-316,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-317,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-318,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-319,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-320,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-321,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-322,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-323,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-324,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-325,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-326,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-327,confirmed_violation,malicious,path_incomplete,no_sensitive_flow_observed,unresolved_before_sink,True
PB-328,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-329,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-330,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-331,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-332,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-333,confirmed_violation,malicious,path_incomplete,confirmed_allowed,unresolved_execution,True
PB-334,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-335,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-336,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-337,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-338,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-339,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-340,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-341,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-342,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-343,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-344,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-345,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-346,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-347,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-348,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-349,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
