corpus,sample_scope,sample_key,sample_name,sample_root_or_path,sample_root_or_path_windows,provloom_selected_skill_id,provloom_selected_skill_root,provloom_selected_skill_name,provloom_status,provloom_execution_outcome,provloom_final_risk_level,provloom_risk_score,provloom_evidence_type,provloom_evidence_strength,provloom_primary_chain_length,provloom_root_cause,provloom_detected_behaviors,provloom_external_endpoints,skillscan_risk_level,skillscan_risk_score,skillscan_total_issues,skillscan_status,skillscan_path,skillscan_match_scope,cisco_risk_level,cisco_status,cisco_source_path,cisco_match_scope,clawvet_risk_level,clawvet_status,clawvet_source_path,clawvet_match_scope,skillfortify_risk_level,skillfortify_status,skillfortify_source_path,skillfortify_match_scope,seeded_from_existing_review,existing_human_decision,existing_human_gt_behavior,existing_human_gt_chain_valid,existing_human_gt_root_cause,existing_human_notes,existing_reviewer,existing_review_status,human_decision,human_gt_behavior,human_gt_chain_valid,human_gt_root_cause,human_notes,reviewer,review_status
high_risk_470,top_level_public_sample,agent-deep-research,deep-research,/mnt/e/dangerous_skills/agent-deep-research,E:\dangerous_skills\agent-deep-research,mnt_e_dangerous_skills_agent-deep-research,/mnt/e/dangerous_skills/agent-deep-research,deep-research,completed,completed_full,medium,0,no_closed_chain,partial,0,unknown,"[""file_write"", ""process_spawn"", ""shell_execution""]",,critical,10.0,147,success,/mnt/e/dangerous_skills/agent-deep-research,top_level_public_sample,high,success,E:\dangerous_skills\agent-deep-research,top_level_public_sample,critical,success,E:\dangerous_skills\agent-deep-research,top_level_public_sample,high,success,E:\dangerous_skills\agent-deep-research,top_level_public_sample,false,benign,no_closed_chain_user_directed_gemini_research_uploads,FALSE,benign_external_research_api_workflow,"The skill performs deep research through Google Gemini APIs and can upload user-specified local context files to Gemini file-search stores. This is privacy-sensitive, but the SKILL.md makes the external API and upload behavior explicit, excludes common secrets and binary/build directories, supports dry-run and cost guards, and auto-deletes ephemeral stores by default. I do not see a malicious closed source-to-sink chain beyond intended user-directed RAG upload functionality.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-manager-skill,agent-manager,/mnt/e/dangerous_skills/agent-manager-skill,E:\dangerous_skills\agent-manager-skill,mnt_e_dangerous_skills_agent-manager-skill_agent-manager,/mnt/e/dangerous_skills/agent-manager-skill/agent-manager,agent-manager,skipped,skipped_bounded,low,,no_closed_chain,partial,0,prompt_injection_suspected,,,critical,10.0,47,success,/mnt/e/dangerous_skills/agent-manager-skill,top_level_public_sample,high,success,E:\dangerous_skills\agent-manager-skill\agent-manager,top_level_public_sample,low,success,E:\dangerous_skills\agent-manager-skill\agent-manager,top_level_public_sample,info,success,E:\dangerous_skills\agent-manager-skill\agent-manager,top_level_public_sample,false,ambiguous,no_closed_chain_agent_orchestration_with_cron_and_bypass_flags,FALSE,risky_local_agent_lifecycle_orchestration,"The skill manages employee agents in tmux sessions, can start/stop agents, send tasks, sync cron schedules, run heartbeats, and includes launcher examples with dangerous approval/sandbox bypass flags. These capabilities are powerful and could amplify misuse, but the reviewed SKILL.md presents them as local agent lifecycle management and does not close a malicious external exfiltration, remote installer, or persistence-to-impact chain beyond intended scheduling/orchestration features. Runtime was skipped and ProvLoom reported no_closed_chain, so I mark it ambiguous because of operational risk rather than confirmed malicious intent.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-mode,post-bridge,/mnt/e/dangerous_skills/agent-mode,E:\dangerous_skills\agent-mode,mnt_e_dangerous_skills_agent-mode_skills_post-bridge,/mnt/e/dangerous_skills/agent-mode/skills/post-bridge,post-bridge,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,[],,critical,10.0,37,success,/mnt/e/dangerous_skills/agent-mode,top_level_public_sample,info,failed,E:\dangerous_skills\agent-mode,top_level_public_sample,info,failed,E:\dangerous_skills\agent-mode,top_level_public_sample,high,success,E:\dangerous_skills\agent-mode,top_level_public_sample,false,benign,no_closed_chain_social_posting_api_workflow,FALSE,benign_user_authorized_social_media_posting,"The skill creates, schedules, uploads media for, and manages posts through the Post Bridge API. It involves external API calls and can publish to multiple social platforms, but the SKILL.md requires API-key setup, connected user accounts, draft mode for review, confirmation before irreversible posting unless explicitly requested, and automation rules against spam or fake engagement. There is no closed malicious source-to-external-sink or setup-control chain, so I treat scanner findings as capability-driven.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-nestjs-skills,nestjs-best-practices,/mnt/e/dangerous_skills/agent-nestjs-skills,E:\dangerous_skills\agent-nestjs-skills,mnt_e_dangerous_skills_agent-nestjs-skills,/mnt/e/dangerous_skills/agent-nestjs-skills,nestjs-best-practices,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""file_write""]",,critical,10.0,174,success,/mnt/e/dangerous_skills/agent-nestjs-skills,top_level_public_sample,high,success,E:\dangerous_skills\agent-nestjs-skills,top_level_public_sample,medium,success,E:\dangerous_skills\agent-nestjs-skills,top_level_public_sample,info,success,E:\dangerous_skills\agent-nestjs-skills,top_level_public_sample,false,benign,no_closed_chain_framework_best_practices_documentation,FALSE,benign_static_development_guidance,"The skill is a NestJS best-practices guide with architecture, dependency injection, security, performance, testing, database, API, microservice, and DevOps rules. It points agents to local rule files and a compiled AGENTS.md guide, but does not instruct sensitive data transfer, external control transfer, persistence, or malicious command execution. ProvLoom found no_closed_chain, so I mark it benign.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-rules-skill,agent-rules,/mnt/e/dangerous_skills/agent-rules-skill,E:\dangerous_skills\agent-rules-skill,mnt_e_dangerous_skills_agent-rules-skill_skills_agent-rules,/mnt/e/dangerous_skills/agent-rules-skill/skills/agent-rules,agent-rules,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""file_write"", ""process_spawn"", ""shell_execution""]",,critical,10.0,495,success,/mnt/e/dangerous_skills/agent-rules-skill,top_level_public_sample,critical,success,E:\dangerous_skills\agent-rules-skill\skills\agent-rules,top_level_public_sample,medium,success,E:\dangerous_skills\agent-rules-skill\skills\agent-rules,top_level_public_sample,high,success,E:\dangerous_skills\agent-rules-skill\skills\agent-rules,top_level_public_sample,false,benign,no_closed_chain_agent_documentation_generator,FALSE,benign_repo_documentation_and_verification_workflow,"The skill generates and verifies AGENTS.md and related AI-agent rule files using local bash, jq, git, grep, and find scripts. It scans repositories and may execute verification commands, which explains static shell/process findings, but its purpose is documentation generation and freshness checking. I do not see an external exfiltration endpoint, malicious installer, persistence mechanism, or closed instruction-derived impact chain.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-secret,agent-secret,/mnt/e/dangerous_skills/agent-secret,E:\dangerous_skills\agent-secret,mnt_e_dangerous_skills_agent-secret_skills_agent-secret,/mnt/e/dangerous_skills/agent-secret/skills/agent-secret,agent-secret,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,[],,critical,10.0,43,success,/mnt/e/dangerous_skills/agent-secret,top_level_public_sample,critical,success,E:\dangerous_skills\agent-secret\skills\agent-secret,top_level_public_sample,high,success,E:\dangerous_skills\agent-secret\skills\agent-secret,top_level_public_sample,high,success,E:\dangerous_skills\agent-secret\skills\agent-secret,top_level_public_sample,false,benign,no_closed_chain_os_keychain_secret_management,FALSE,benign_secret_management_workflow,"The skill manages secrets through the OS keychain and injects selected values into .env files without printing secret contents. It is sensitive because it handles credentials and modifies environment files, but the instructions emphasize never exposing values, listing names first, and reporting only configured/missing status. I do not see a malicious exfiltration endpoint, attacker-controlled setup chain, or closed source-to-sink path.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-skill-excalidraw-diagram-builder,generating-excalidraw-architecture-diagrams,/mnt/e/dangerous_skills/agent-skill-excalidraw-diagram-builder,E:\dangerous_skills\agent-skill-excalidraw-diagram-builder,mnt_e_dangerous_skills_agent-skill-excalidraw-diagram-builder,/mnt/e/dangerous_skills/agent-skill-excalidraw-diagram-builder,generating-excalidraw-architecture-diagrams,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""process_spawn"", ""shell_execution""]",,safe,1.3,4,success,/mnt/e/dangerous_skills/agent-skill-excalidraw-diagram-builder,top_level_public_sample,high,success,E:\dangerous_skills\agent-skill-excalidraw-diagram-builder,top_level_public_sample,low,success,E:\dangerous_skills\agent-skill-excalidraw-diagram-builder,top_level_public_sample,info,success,E:\dangerous_skills\agent-skill-excalidraw-diagram-builder,top_level_public_sample,false,benign,no_closed_chain_codebase_diagram_generation,FALSE,benign_architecture_documentation_workflow,"The skill analyzes a codebase and generates or updates Excalidraw architecture diagrams. It uses read/search/write and local Node scripts to create diagram files, which explains process and shell findings, but the behavior is scoped to documentation and visualization. There is no evidence of sensitive data exfiltration, persistence, remote installer execution, or a closed malicious instruction-derived chain.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-skills,materialize-docs,/mnt/e/dangerous_skills/agent-skills,E:\dangerous_skills\agent-skills,mnt_e_dangerous_skills_agent-skills_skills_materialize-docs,/mnt/e/dangerous_skills/agent-skills/skills/materialize-docs,materialize-docs,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""file_write""]",,critical,10.0,2755,success,/mnt/e/dangerous_skills/agent-skills,top_level_public_sample,info,failed,E:\dangerous_skills\agent-skills\AGENTS.md,top_level_public_sample,info,failed,E:\dangerous_skills\agent-skills\AGENTS.md,top_level_public_sample,high,success,E:\dangerous_skills\agent-skills\AGENTS.md,top_level_public_sample,false,benign,no_closed_chain_static_materialize_documentation,FALSE,benign_database_documentation_reference,"The skill is a Materialize documentation index for SQL syntax, ingestion, concepts, integrations, security, and deployment guidance. It points agents to local documentation files and includes ordinary references to sources, sinks, APIs, and external integrations as product documentation. There is no closed runtime or instruction-derived malicious chain, so the scanner findings appear documentation-driven.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-toolkit,outseta,/mnt/e/dangerous_skills/agent-toolkit,E:\dangerous_skills\agent-toolkit,mnt_e_dangerous_skills_agent-toolkit_skills_outseta,/mnt/e/dangerous_skills/agent-toolkit/skills/outseta,outseta,skipped,skipped_bounded,low,,no_closed_chain,partial,0,unknown,,,critical,10.0,43,success,/mnt/e/dangerous_skills/agent-toolkit,top_level_public_sample,info,failed,E:\dangerous_skills\agent-toolkit,top_level_public_sample,info,failed,E:\dangerous_skills\agent-toolkit,top_level_public_sample,info,success,E:\dangerous_skills\agent-toolkit,top_level_public_sample,false,benign,no_closed_chain_saas_auth_billing_integration_docs,FALSE,benign_outseta_integration_guidance,"The skill documents how to integrate Outseta for SaaS authentication, billing, CRM, support, JWT validation, webhooks, and frontend widgets. It references external CDN/API endpoints and templates, but these are expected integration instructions for a SaaS platform and include security guidance such as JWT and webhook signature verification. I do not see an attacker-controlled installation path, persistence mechanism, or malicious source-to-sink chain.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agentaudit-skill,agentaudit-skill,/mnt/e/dangerous_skills/agentaudit-skill,E:\dangerous_skills\agentaudit-skill,mnt_e_dangerous_skills_agentaudit-skill,/mnt/e/dangerous_skills/agentaudit-skill,agentaudit-skill,completed,completed_full,critical,0,instruction_derived,partial,0,unknown,[],,critical,10.0,313,success,/mnt/e/dangerous_skills/agentaudit-skill,top_level_public_sample,critical,success,E:\dangerous_skills\agentaudit-skill,top_level_public_sample,high,success,E:\dangerous_skills\agentaudit-skill,top_level_public_sample,high,success,E:\dangerous_skills\agentaudit-skill,top_level_public_sample,true,ambiguous,instruction_derived_remote_install_global_install_and_persistence_context,TRUE,risky_documented_supply_chain_and_environment_control,"The recovered instruction-level chain includes a remote install script, global npm installation, and persistence-related documentation. The evidence is instruction-derived rather than runtime-observed. Because the package appears to be positioned as an audit/security tool and is not user-confirmed malicious in the screenshot, mark as ambiguous instead of malicious.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agentcast-ai,agentcast,/mnt/e/dangerous_skills/agentcast-ai,E:\dangerous_skills\agentcast-ai,mnt_e_dangerous_skills_agentcast-ai_agentcast,/mnt/e/dangerous_skills/agentcast-ai/agentcast,agentcast,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""process_spawn"", ""shell_execution""]",,critical,10.0,101,success,/mnt/e/dangerous_skills/agentcast-ai,top_level_public_sample,high,success,E:\dangerous_skills\agentcast-ai\agentcast,top_level_public_sample,high,success,E:\dangerous_skills\agentcast-ai\agentcast,top_level_public_sample,high,success,E:\dangerous_skills\agentcast-ai\agentcast,top_level_public_sample,false,ambiguous,no_closed_chain_agent_social_identity_and_onchain_registration,FALSE,risky_onchain_wallet_identity_setup,"The skill guides an agent through Farcaster identity setup, ERC-8004 registration on Base, wallet linking, x402-related profile/cast flows, and AgentCast dashboard indexing. This is financially and identity sensitive because it involves wallets, signer keys, on-chain registration, and social posting, but the SKILL.md repeatedly warns not to expose private keys and frames the actions as explicit user-directed setup. I do not see a closed malicious exfiltration, persistence, or attacker-controlled setup chain, so I mark it ambiguous due to high-impact on-chain identity risk rather than confirmed malicious.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agentchat,agentchat,/mnt/e/dangerous_skills/agentchat,E:\dangerous_skills\agentchat,mnt_e_dangerous_skills_agentchat,/mnt/e/dangerous_skills/agentchat,agentchat,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""process_spawn"", ""shell_execution""]",,critical,10.0,1007,success,/mnt/e/dangerous_skills/agentchat,top_level_public_sample,critical,success,E:\dangerous_skills\agentchat,top_level_public_sample,high,success,E:\dangerous_skills\agentchat,top_level_public_sample,info,success,E:\dangerous_skills\agentchat,top_level_public_sample,false,benign,no_closed_chain_agent_chat_websocket_communication,FALSE,benign_agent_messaging_workflow,"The skill connects to an AgentChat WebSocket/MCP messaging network, joins channels, sends and receives messages, and checks reputation. It has an external communication surface, but the SKILL.md explicitly treats chat messages as untrusted input, forbids executing code or file operations from chat messages, and prohibits sharing secrets. I do not see a malicious source-to-sink or instruction-derived impact chain, so I mark it benign.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agentguard,agentguard,/mnt/e/dangerous_skills/agentguard,E:\dangerous_skills\agentguard,mnt_e_dangerous_skills_agentguard_skills_agentguard,/mnt/e/dangerous_skills/agentguard/skills/agentguard,agentguard,skipped,skipped_bounded,critical,,instruction_derived,partial,0,unknown,,,critical,10.0,474,success,/mnt/e/dangerous_skills/agentguard,top_level_public_sample,critical,success,E:\dangerous_skills\agentguard\skills\agentguard,top_level_public_sample,high,success,E:\dangerous_skills\agentguard\skills\agentguard,top_level_public_sample,critical,success,E:\dangerous_skills\agentguard\skills\agentguard,top_level_public_sample,true,ambiguous,instruction_derived_cron_and_security_scanning_control,TRUE,risky_recurring_execution_and_security_control_surface,"The recovered instruction chain includes cron-style recurring execution and security scanning/control semantics. This is a meaningful instruction-derived risk, but the surrounding context resembles a guard/audit utility, so there is insufficient evidence to call it confirmed malicious.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agentic-learn,agentic-learning,/mnt/e/dangerous_skills/agentic-learn,E:\dangerous_skills\agentic-learn,mnt_e_dangerous_skills_agentic-learn,/mnt/e/dangerous_skills/agentic-learn,agentic-learning,completed,completed_full,medium,0,no_closed_chain,partial,0,unknown,[],,medium,5.5,18,success,/mnt/e/dangerous_skills/agentic-learn,top_level_public_sample,high,success,E:\dangerous_skills\agentic-learn,top_level_public_sample,unavailable,,,unavailable,info,success,E:\dangerous_skills\agentic-learn,top_level_public_sample,false,benign,no_closed_chain_learning_and_reflection_workflow,FALSE,benign_educational_agent_workflow,"The skill is an educational learning partner that asks retrieval-practice questions, supports reflection, spacing, brainstorming, decision journaling, and project comprehension logs. It may write local learning notes such as docs/revisit.md or docs/project-knowledge.md, but it does not prescribe secret access, external exfiltration, malicious command execution, persistence, or attacker-controlled setup. ProvLoom found no_closed_chain, so I mark it benign.",唐健,reviewed,,,,,,,
