sample_id,expected_outcome,predicted_label,evidence_strengths,carrier_types,chain_count,complete_chain_recovered,confirmed_violation_chain
PB-227,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-228,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-229,confirmed_violation,malicious,,,0,False,False
PB-230,confirmed_violation,malicious,,,0,False,False
PB-231,confirmed_violation,malicious,,,0,False,False
PB-232,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-233,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-234,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-235,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-236,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-237,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-238,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-239,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-240,confirmed_violation,malicious,,,0,False,False
PB-241,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-242,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-243,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-244,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-245,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-246,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-247,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-248,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-249,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-250,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-251,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-252,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-253,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-254,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-255,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-256,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-257,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-258,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-259,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-260,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-261,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-262,confirmed_violation,malicious,,,0,False,False
PB-263,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-264,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-265,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-266,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-267,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-268,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-269,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-270,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-271,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-272,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-273,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-274,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-275,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-276,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-277,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-278,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-279,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-280,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-281,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-282,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-283,confirmed_violation,benign,structured_relation,http_body;llm_context,2,False,False
PB-284,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-285,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-286,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-287,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-288,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-289,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-290,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-291,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-292,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-293,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-294,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-295,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-296,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-297,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-298,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-299,confirmed_violation,malicious,,,0,False,False
PB-300,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-301,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-302,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-303,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-304,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-305,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-306,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-307,confirmed_violation,malicious,,,0,False,False
PB-308,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-309,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-310,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-311,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-312,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-313,confirmed_violation,malicious,,,0,False,False
PB-314,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-315,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-316,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-317,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-318,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-319,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-320,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-321,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-322,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-323,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-324,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-325,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-326,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-327,confirmed_violation,malicious,,,0,False,False
PB-328,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-329,confirmed_violation,malicious,,,0,False,False
PB-330,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-331,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-332,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-333,confirmed_violation,malicious,structured_relation,llm_context,1,False,False
PB-334,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-335,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-336,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-337,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-338,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-339,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-340,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-341,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-342,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-343,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-344,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-345,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-346,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-347,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-348,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-349,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-350,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-351,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-352,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-353,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-354,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-355,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-356,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-357,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-358,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-359,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-360,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-361,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-362,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-363,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-364,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-365,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-366,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-367,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-368,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-369,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-370,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-371,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-372,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-373,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-374,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-375,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-376,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-377,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-378,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-379,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-380,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-381,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-382,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-383,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-384,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-385,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-386,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-387,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-388,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-389,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-390,confirmed_violation,malicious,,,0,False,False
PB-391,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-392,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-393,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-394,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-395,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-396,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-397,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-398,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-399,benign_lookalike,benign,,,0,False,False
PB-400,benign_lookalike,benign,,,0,False,False
PB-401,benign_lookalike,benign,,,0,False,False
PB-402,benign_lookalike,benign,,,0,False,False
PB-403,benign_lookalike,benign,,,0,False,False
PB-404,benign_lookalike,benign,,,0,False,False
PB-405,benign_lookalike,benign,,,0,False,False
PB-406,benign_lookalike,benign,,,0,False,False
PB-407,benign_lookalike,benign,,,0,False,False
PB-408,benign_lookalike,benign,,,0,False,False
PB-409,benign_lookalike,benign,,,0,False,False
PB-410,benign_lookalike,benign,,,0,False,False
PB-411,benign_lookalike,benign,,,0,False,False
PB-412,benign_lookalike,benign,,,0,False,False
PB-413,benign_lookalike,benign,,,0,False,False
PB-414,benign_lookalike,benign,,,0,False,False
PB-415,benign_lookalike,benign,,,0,False,False
PB-416,benign_lookalike,benign,,,0,False,False
PB-417,benign_lookalike,benign,,,0,False,False
PB-418,benign_lookalike,benign,,,0,False,False
PB-419,benign_lookalike,benign,,,0,False,False
PB-420,benign_lookalike,benign,,,0,False,False
PB-421,benign_lookalike,benign,,,0,False,False
PB-422,benign_lookalike,benign,,,0,False,False
PB-423,benign_lookalike,benign,,,0,False,False
PB-424,benign_lookalike,benign,,,0,False,False
PB-425,benign_lookalike,benign,,,0,False,False
PB-426,benign_lookalike,benign,,,0,False,False
PB-427,benign_lookalike,benign,,,0,False,False
PB-428,benign_lookalike,benign,,,0,False,False
PB-429,benign_lookalike,benign,,,0,False,False
PB-430,benign_lookalike,benign,,,0,False,False
PB-431,benign_lookalike,benign,,,0,False,False
PB-432,benign_lookalike,benign,,,0,False,False
PB-433,benign_lookalike,benign,,,0,False,False
PB-434,benign_lookalike,benign,,,0,False,False
PB-435,benign_lookalike,benign,,,0,False,False
PB-436,benign_lookalike,benign,,,0,False,False
PB-437,benign_lookalike,benign,,,0,False,False
PB-438,benign_lookalike,benign,,,0,False,False
PB-439,benign_lookalike,benign,,,0,False,False
PB-440,benign_lookalike,benign,,,0,False,False
PB-441,benign_lookalike,benign,,,0,False,False
PB-442,benign_lookalike,benign,,,0,False,False
PB-443,benign_lookalike,benign,,,0,False,False
